asset_id,asset_type,name,lat,lon,surface_type,traffic_estimate,last_repair_date,pothole_reports_30d,pothole_reports_180d,condition_index,report_text,repair_history,images
RD-00036,road,Segment D-36,42.041059,-87.908126,concrete,73727,2024-05-18,6,16,61,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near wheel path. Temporary patch applied this week.,drain rehab 2024-08-20; drain rehab 2023-09-20,
RD-00037,road,Segment C-37,41.917927,-87.704919,asphalt,71682,2025-08-04,5,14,68,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near shoulder edge. Temporary patch applied last month.,,
RD-00038,road,Segment B-38,41.824351,-87.545909,composite,9886,2025-04-06,3,7,62,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied last month.,drain rehab 2023-07-06; full-depth patch 2025-11-18; mill and fill 2024-03-29,https://example.com/images/rd-00038_corrosion.jpg
RD-00039,road,Segment C-39,41.788713,-87.603583,asphalt,59700,2024-09-18,2,10,97,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,full-depth patch 2024-11-05; drain rehab 2023-08-09; drain rehab 2023-07-13,https://example.com/images/rd-00039_washout.jpg
RD-00040,road,Segment C-40,41.932456,-87.52551,asphalt,23556,2024-12-24,1,5,86,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,,
RD-00041,road,Segment C-41,41.944034,-87.833649,asphalt,86196,2023-11-21,5,16,88,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,seal coat 2023-12-22,
RD-00042,road,Segment B-42,41.710009,-87.734462,composite,73480,2024-11-07,4,12,99,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,drain rehab 2025-01-26,https://example.com/images/rd-00042_pothole.jpg
RD-00043,road,Segment C-43,41.925909,-87.892125,composite,24881,2025-05-31,2,9,46,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near shoulder edge. Temporary patch applied this week.",,
RD-00044,road,Segment A-44,41.804842,-87.94287,composite,34268,2025-12-11,3,13,70,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near wheel path. Temporary patch applied this week.,seal coat 2023-10-01; full-depth patch 2023-09-09; seal coat 2024-02-17,
RD-00045,road,Segment D-45,41.801564,-87.679895,asphalt,30544,2024-06-27,2,11,67,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near shoulder edge. Temporary patch applied two weeks ago.,seal coat 2025-08-09,https://example.com/images/rd-00045_washout.jpg
RD-00046,road,Segment A-46,41.781712,-87.629591,asphalt,70853,2024-12-21,4,13,55,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near wheel path. Temporary patch applied two weeks ago.,full-depth patch 2023-07-13; drain rehab 2023-07-07; drain rehab 2025-12-09,
RD-00047,road,Segment A-47,42.016332,-87.807334,concrete,56419,2026-01-02,6,15,56,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near wheel path. Temporary patch applied two weeks ago.,mill and fill 2025-04-19,
RD-00048,road,Segment A-48,41.83518,-87.704425,composite,79556,2024-03-23,3,12,86,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,mill and fill 2024-08-30; seal coat 2024-12-09,https://example.com/images/rd-00048_washout.jpg
RD-00049,road,Segment C-49,41.996728,-87.825506,concrete,46472,2025-08-19,3,14,34,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near drain inlet area. Temporary patch applied last month.,drain rehab 2024-11-01; seal coat 2025-05-16; seal coat 2025-02-16,
RD-00050,road,Segment A-50,41.679103,-87.600671,composite,42210,2024-01-22,4,14,68,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied this week.,,https://example.com/images/rd-00050_drainage.jpg
RD-00051,road,Segment B-51,41.928302,-87.583913,composite,54365,2024-02-12,6,15,63,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near drain inlet area. Temporary patch applied this week.,mill and fill 2023-09-03; seal coat 2025-01-18,
RD-00052,road,Segment C-52,41.91502,-87.799238,asphalt,58770,2024-11-27,4,14,78,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near wheel path. Temporary patch applied last month.,seal coat 2025-07-18; seal coat 2024-04-28; mill and fill 2025-04-25,https://example.com/images/rd-00052_corrosion.jpg
RD-00053,road,Segment B-53,41.640112,-87.663906,composite,85011,2025-03-16,4,16,86,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near drain inlet area. Temporary patch applied last month.,full-depth patch 2023-07-19; mill and fill 2026-01-03,
RD-00054,road,Segment B-54,41.698022,-87.786702,composite,24362,2025-08-07,1,7,83,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,drain rehab 2025-06-02; full-depth patch 2023-08-22,
RD-00055,road,Segment D-55,41.695557,-87.600183,asphalt,8655,2024-08-31,4,5,80,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near drain inlet area. Temporary patch applied this week.,,https://example.com/images/rd-00055_drainage.jpg
RD-00056,road,Segment C-56,41.724407,-87.90085,concrete,85969,2024-02-18,5,17,71,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied this week.,seal coat 2024-02-18; drain rehab 2024-07-03; full-depth patch 2025-04-24,https://example.com/images/rd-00056_washout.jpg
RD-00057,road,Segment B-57,41.737522,-87.894988,concrete,78398,2024-05-31,6,12,61,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,drain rehab 2026-02-01,
RD-00058,road,Segment B-58,41.956491,-87.916397,composite,64034,2025-04-11,4,15,75,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near shoulder edge. Temporary patch applied this week.,mill and fill 2026-02-10,
RD-00059,road,Segment A-59,41.694258,-87.81052,concrete,62651,2026-02-11,6,17,35,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near wheel path. Temporary patch applied two weeks ago.,drain rehab 2024-09-26,https://example.com/images/rd-00059_crack.jpg
RD-00060,road,Segment C-60,41.871751,-87.588377,concrete,9377,2024-08-30,2,7,67,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near travel lane. Temporary patch applied last month.,drain rehab 2025-09-14; drain rehab 2024-08-21; drain rehab 2025-09-03,
RD-00061,road,Segment B-61,41.842448,-87.621854,asphalt,27427,2025-03-09,2,8,74,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near travel lane. Temporary patch applied last month.,full-depth patch 2025-04-19; mill and fill 2024-03-25,https://example.com/images/rd-00061_drainage.jpg
RD-00062,road,Segment B-62,41.816139,-87.886023,asphalt,82881,2025-02-24,6,14,72,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied last month.,,https://example.com/images/rd-00062_fatigue.jpg
RD-00063,road,Segment A-63,42.03069,-87.78875,concrete,85184,2025-09-23,4,19,59,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,drain rehab 2023-08-12,
RD-00064,road,Segment B-64,42.045615,-87.56293,concrete,36384,2024-04-23,5,5,99,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near travel lane. Temporary patch applied last month.,full-depth patch 2024-02-26,
RD-00065,road,Segment B-65,42.026341,-87.724961,composite,31598,2023-12-21,5,16,52,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near wheel path. Temporary patch applied last month.",full-depth patch 2024-08-01; full-depth patch 2025-03-25,https://example.com/images/rd-00065_spalling.jpg
RD-00066,road,Segment A-66,41.870076,-87.736387,composite,68296,2025-07-09,4,12,68,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near drain inlet area. Temporary patch applied this week.,mill and fill 2025-11-29; drain rehab 2025-05-10,
RD-00067,road,Segment D-67,42.033514,-87.597467,composite,80247,2023-12-19,3,10,78,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near shoulder edge. Temporary patch applied this week.,full-depth patch 2023-10-02,
RD-00068,road,Segment D-68,41.671563,-87.560067,asphalt,5130,2024-08-18,5,11,49,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near travel lane. Temporary patch applied last month.,drain rehab 2025-09-07,https://example.com/images/rd-00068_drainage.jpg
RD-00069,road,Segment A-69,41.773188,-87.690753,composite,45215,2024-05-22,2,9,80,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near travel lane. Temporary patch applied two weeks ago.",mill and fill 2024-10-03; drain rehab 2023-07-07; drain rehab 2023-08-17,
RD-00070,road,Segment C-70,41.826407,-87.781297,composite,89398,2026-01-23,4,10,83,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near shoulder edge. Temporary patch applied two weeks ago.,drain rehab 2024-01-09,
RD-00071,road,Segment A-71,41.998157,-87.802013,composite,90469,2025-05-28,4,11,98,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near shoulder edge. Temporary patch applied last month.,drain rehab 2025-06-14; seal coat 2025-04-27; seal coat 2025-04-09,
RD-00072,road,Segment D-72,41.84428,-87.923342,composite,87964,2023-12-20,4,15,70,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near shoulder edge. Temporary patch applied last month.,mill and fill 2025-02-17,
RD-00073,road,Segment C-73,41.977622,-87.769125,composite,3338,2026-01-26,4,13,65,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,drain rehab 2023-06-25; mill and fill 2025-03-09,https://example.com/images/rd-00073_fatigue.jpg
RD-00074,road,Segment C-74,41.744634,-87.942844,concrete,6388,2024-12-31,3,13,45,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied this week.,seal coat 2024-12-14; mill and fill 2024-01-28,
RD-00075,road,Segment A-75,41.988174,-87.760335,concrete,78229,2023-12-22,4,14,79,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,mill and fill 2024-01-08; seal coat 2023-08-29; drain rehab 2024-02-18,
RD-00076,road,Segment B-76,41.83599,-87.826318,asphalt,58672,2025-01-10,2,8,84,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,mill and fill 2024-04-21; full-depth patch 2026-01-20,
RD-00077,road,Segment C-77,41.675387,-87.645922,concrete,70907,2024-10-08,4,12,61,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near wheel path. Temporary patch applied this week.,mill and fill 2025-12-01; mill and fill 2024-02-27,
RD-00078,road,Segment C-78,41.678314,-87.911198,composite,82425,2025-09-07,6,14,88,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near travel lane. Temporary patch applied last month.,mill and fill 2024-02-21; mill and fill 2025-10-21,
RD-00079,road,Segment D-79,41.730986,-87.543455,composite,63421,2024-04-23,3,12,52,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,mill and fill 2024-05-24,https://example.com/images/rd-00079_spalling.jpg
RD-00080,road,Segment D-80,41.737887,-87.677261,asphalt,83157,2025-08-22,4,18,58,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near shoulder edge. Temporary patch applied this week.,drain rehab 2024-04-25; mill and fill 2024-11-16,https://example.com/images/rd-00080_drainage.jpg
RD-00081,road,Segment A-81,42.032311,-87.700712,concrete,90856,2024-04-02,3,12,99,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near shoulder edge. Temporary patch applied this week.,,https://example.com/images/rd-00081_pothole.jpg
RD-00082,road,Segment C-82,41.914443,-87.78288,composite,9771,2025-03-09,2,3,92,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near shoulder edge. Temporary patch applied last month.,full-depth patch 2023-06-20; mill and fill 2025-09-11; seal coat 2024-07-22,https://example.com/images/rd-00082_corrosion.jpg
RD-00083,road,Segment D-83,42.028352,-87.709577,asphalt,93409,2024-11-01,4,10,99,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near shoulder edge. Temporary patch applied last month.,mill and fill 2023-10-27; drain rehab 2026-02-26; full-depth patch 2025-12-07,https://example.com/images/rd-00083_corrosion.jpg
RD-00084,road,Segment B-84,41.703092,-87.598073,asphalt,95476,2025-11-11,5,13,70,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near drain inlet area. Temporary patch applied this week.,mill and fill 2024-12-19,
RD-00085,road,Segment D-85,41.678934,-87.845445,asphalt,12988,2025-03-30,2,8,67,Deck delamination with hollow sound and moisture intrusion evidence. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,full-depth patch 2023-07-07; full-depth patch 2025-01-15,
RD-00086,road,Segment D-86,41.943398,-87.751905,concrete,56285,2026-02-01,3,16,46,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near travel lane. Temporary patch applied last month.,full-depth patch 2023-10-09; mill and fill 2024-12-15; drain rehab 2024-06-09,
RD-00087,road,Segment D-87,41.768848,-87.651445,composite,23654,2024-08-29,5,10,68,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied last month.,drain rehab 2024-08-08,
RD-00088,road,Segment C-88,41.853098,-87.537074,asphalt,87341,2025-01-25,4,13,99,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied last month.,mill and fill 2025-08-17,
RD-00089,road,Segment C-89,41.908447,-87.680275,asphalt,74225,2025-01-19,3,9,99,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near wheel path. Temporary patch applied two weeks ago.",,
RD-00090,road,Segment C-90,41.672526,-87.563556,asphalt,45478,2025-11-27,3,13,47,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near shoulder edge. Temporary patch applied last month.,,https://example.com/images/rd-00090_spalling.jpg
RD-00091,road,Segment C-91,41.722028,-87.823958,concrete,13388,2024-03-15,5,12,55,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near shoulder edge. Temporary patch applied last month.,mill and fill 2023-07-28; seal coat 2025-10-20; full-depth patch 2024-12-15,https://example.com/images/rd-00091_corrosion.jpg
RD-00092,road,Segment D-92,41.797939,-87.74421,asphalt,4348,2024-06-15,4,4,95,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near shoulder edge. Temporary patch applied two weeks ago.,drain rehab 2025-01-11; drain rehab 2023-08-02; mill and fill 2024-11-24,https://example.com/images/rd-00092_washout.jpg
RD-00093,road,Segment C-93,42.03042,-87.792961,asphalt,19906,2023-11-28,3,13,64,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near travel lane. Temporary patch applied two weeks ago.,,
RD-00094,road,Segment B-94,41.912025,-87.841886,composite,92085,2025-12-12,4,17,52,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,seal coat 2026-02-06; seal coat 2023-11-01,
RD-00095,road,Segment D-95,41.653997,-87.909524,composite,41457,2024-11-03,5,15,60,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near wheel path. Temporary patch applied this week.,drain rehab 2025-07-09,https://example.com/images/rd-00095_corrosion.jpg
RD-00096,road,Segment B-96,41.72785,-87.798267,concrete,18161,2025-11-01,6,15,57,Repeated pothole rebound after winter freeze-thaw and heavy truck traffic. Distress concentrated near shoulder edge. Temporary patch applied this week.,seal coat 2023-11-09; drain rehab 2025-11-07,
RD-00097,road,Segment B-97,41.668059,-87.680183,composite,38867,2024-12-29,2,7,77,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near drain inlet area. Temporary patch applied this week.,full-depth patch 2025-10-10; seal coat 2023-06-25,
RD-00098,road,Segment C-98,41.697471,-87.82719,composite,84061,2025-02-21,4,21,34,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near drain inlet area. Temporary patch applied two weeks ago.,drain rehab 2025-12-01; drain rehab 2024-11-20,
RD-00099,road,Segment A-99,41.875363,-87.859047,asphalt,93325,2025-07-05,3,15,88,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near travel lane. Temporary patch applied two weeks ago.",,https://example.com/images/rd-00099_washout.jpg
RD-00100,road,Segment C-100,41.709144,-87.927854,concrete,7359,2025-04-09,5,10,38,"Standing water, blocked inlets, and shoulder washout after rainfall events. Distress concentrated near drain inlet area. Temporary patch applied this week.",mill and fill 2025-07-06,https://example.com/images/rd-00100_drainage.jpg
RD-00101,road,Segment A-101,41.67585,-87.615932,composite,75742,2024-02-01,4,16,62,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near travel lane. Temporary patch applied last month.,drain rehab 2025-01-15; mill and fill 2024-10-28,
RD-00102,road,Segment A-102,41.748845,-87.799008,asphalt,27688,2026-02-20,3,12,57,Longitudinal cracking near wheel path with water ingress and patch separation. Distress concentrated near travel lane. Temporary patch applied this week.,full-depth patch 2024-02-13,https://example.com/images/rd-00102_pothole.jpg
RD-00103,road,Segment A-103,41.820247,-87.826829,asphalt,32141,2025-09-19,4,12,86,Expansion joint leakage accelerating deck and support deterioration. Distress concentrated near wheel path. Temporary patch applied this week.,seal coat 2025-09-12; mill and fill 2024-09-01; full-depth patch 2024-10-01,
RD-00104,road,Segment C-104,41.788721,-87.752459,concrete,9374,2025-01-27,5,8,69,Corrosion staining and section loss observed on bearing and steel members. Distress concentrated near drain inlet area. Temporary patch applied this week.,seal coat 2023-10-25; mill and fill 2024-08-26; drain rehab 2023-11-11,
RD-00105,road,Segment B-105,41.982778,-87.653001,concrete,64721,2024-07-30,6,13,99,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near drain inlet area. Temporary patch applied last month.,full-depth patch 2025-02-22,https://example.com/images/rd-00105_crack.jpg
RD-00106,road,Segment D-106,41.88879,-87.55872,composite,77467,2026-01-29,4,12,81,Localized pavement settlement and subgrade void risk near utility crossing. Distress concentrated near travel lane. Temporary patch applied this week.,,
RD-00107,road,Segment D-107,41.743154,-87.748142,concrete,93208,2023-12-28,6,17,49,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near shoulder edge. Temporary patch applied last month.,seal coat 2025-07-26; seal coat 2023-06-21,https://example.com/images/rd-00107_drainage.jpg
RD-00108,road,Segment C-108,41.748682,-87.949768,concrete,81267,2024-09-26,4,21,41,Concrete spalling and exposed rebar found around deck edge and joint line. Distress concentrated near travel lane. Temporary patch applied this week.,full-depth patch 2024-06-05; mill and fill 2025-09-19,
