asset_id,asset_type,name,lat,lon,year_built,material,avg_daily_traffic,deck_rating,superstructure_rating,substructure_rating,last_inspection_date,inspection_notes,repair_history,images
BRG-0050,bridge,Central Span 50,41.645707,-87.719274,2008,reinforced_concrete,99622,8,4,3,2025-05-05,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0050_joint.jpg
BRG-0051,bridge,Central Span 51,41.905537,-87.676776,2009,reinforced_concrete,82217,5,4,6,2025-06-21,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0051_washout.jpg
BRG-0052,bridge,North Span 52,42.00302,-87.668384,2012,reinforced_concrete,109985,5,7,5,2025-03-12,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.",joint seal 2024-02-07; bearing maintenance 2025-10-27,https://example.com/images/brg-0052_fatigue.jpg
BRG-0053,bridge,South Span 53,41.903099,-87.693227,1952,prestressed_concrete,16258,6,4,7,2026-01-24,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.",bearing maintenance 2025-05-02,https://example.com/images/brg-0053_spalling.jpg
BRG-0054,bridge,North Span 54,41.967391,-87.902732,1953,steel,37551,7,8,6,2025-10-30,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.,,
BRG-0055,bridge,North Span 55,41.835261,-87.615453,2015,steel,31587,4,6,4,2025-03-28,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,drain clearing 2023-11-29,https://example.com/images/brg-0055_fatigue.jpg|https://example.com/images/brg-0055_fatigue.jpg
BRG-0056,bridge,West Span 56,41.772066,-87.886216,1966,composite,75093,3,4,4,2025-03-01,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,drain clearing 2025-08-09; joint seal 2022-06-29; deck patch 2023-10-02,https://example.com/images/brg-0056_washout.jpg
BRG-0057,bridge,Central Span 57,41.810556,-87.909113,2004,prestressed_concrete,84926,4,4,8,2026-01-25,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,,https://example.com/images/brg-0057_spalling.jpg
BRG-0058,bridge,South Span 58,41.914705,-87.773352,2004,composite,16486,8,8,5,2025-09-01,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.",bearing maintenance 2023-01-16,
BRG-0059,bridge,West Span 59,41.986514,-87.530945,1953,composite,73109,7,5,6,2025-09-02,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,deck patch 2022-08-12,
BRG-0060,bridge,West Span 60,41.825995,-87.882314,1989,composite,88035,1,6,4,2026-01-16,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.,,
BRG-0061,bridge,West Span 61,41.888901,-87.771901,1977,reinforced_concrete,32836,5,6,5,2025-06-04,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 14 days.,joint seal 2026-02-13; bearing maintenance 2024-12-23; bearing maintenance 2024-07-16,
BRG-0062,bridge,West Span 62,41.692966,-87.72099,1979,steel,134140,3,3,5,2025-08-31,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 14 days.,joint seal 2024-05-28; drain clearing 2022-12-12,https://example.com/images/brg-0062_washout.jpg
BRG-0063,bridge,South Span 63,42.036142,-87.876095,2008,reinforced_concrete,97857,8,7,6,2025-06-05,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,deck patch 2025-09-25; joint seal 2023-03-10,https://example.com/images/brg-0063_joint.jpg
BRG-0064,bridge,Central Span 64,41.68215,-87.839934,1972,steel,43073,8,5,3,2025-11-30,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,bearing maintenance 2022-08-24; deck patch 2023-09-12,https://example.com/images/brg-0064_drainage.jpg
BRG-0065,bridge,East Span 65,41.784296,-87.918098,2009,steel,121466,7,6,5,2026-01-13,Pier scour concerns from high-flow channel migration and undermining signs. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,joint seal 2023-08-22; deck patch 2024-05-11; drain clearing 2023-05-09,https://example.com/images/brg-0065_fatigue.jpg
BRG-0066,bridge,East Span 66,41.846865,-87.8758,1981,reinforced_concrete,117755,8,7,5,2025-04-22,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,joint seal 2022-08-16; bearing maintenance 2025-10-17,https://example.com/images/brg-0066_drainage.jpg
BRG-0067,bridge,East Span 67,41.776678,-87.699422,1968,prestressed_concrete,94703,4,8,5,2025-03-03,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,deck patch 2022-05-28; joint seal 2022-07-16,
BRG-0068,bridge,West Span 68,41.713908,-87.857897,2012,prestressed_concrete,53333,5,5,6,2026-01-20,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,joint seal 2022-06-14; deck patch 2022-10-24; deck patch 2025-04-02,https://example.com/images/brg-0068_spalling.jpg|https://example.com/images/brg-0068_pothole.jpg
BRG-0069,bridge,West Span 69,41.917309,-87.847862,2006,prestressed_concrete,77692,5,2,6,2025-07-03,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,bearing maintenance 2024-01-08; drain clearing 2025-04-03,https://example.com/images/brg-0069_spalling.jpg|https://example.com/images/brg-0069_pothole.jpg
BRG-0070,bridge,East Span 70,41.867362,-87.905886,2016,reinforced_concrete,35683,7,5,8,2025-10-12,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,drain clearing 2024-03-15,
BRG-0071,bridge,East Span 71,41.798328,-87.91491,1978,reinforced_concrete,10389,5,6,5,2025-12-16,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,drain clearing 2023-08-25,
BRG-0072,bridge,West Span 72,41.982335,-87.714014,2017,steel,113953,4,6,6,2025-09-27,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,drain clearing 2025-10-23; drain clearing 2022-10-25; joint seal 2022-08-14,https://example.com/images/brg-0072_drainage.jpg
BRG-0073,bridge,North Span 73,41.892072,-87.846557,2003,prestressed_concrete,52103,5,5,6,2025-06-04,Longitudinal cracking near wheel path with water ingress and patch separation. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,,
BRG-0074,bridge,East Span 74,41.963293,-87.801735,1963,prestressed_concrete,90167,5,6,7,2025-09-08,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,deck patch 2025-05-28; drain clearing 2025-12-15,https://example.com/images/brg-0074_pothole.jpg
BRG-0075,bridge,North Span 75,41.851307,-87.524677,2010,composite,69404,8,6,5,2026-02-04,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,drain clearing 2023-09-12; bearing maintenance 2025-02-11,https://example.com/images/brg-0075_joint.jpg|https://example.com/images/brg-0075_drainage.jpg
BRG-0076,bridge,Central Span 76,41.67236,-87.690945,1973,composite,80009,9,5,6,2025-03-27,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,drain clearing 2024-03-11,https://example.com/images/brg-0076_joint.jpg
BRG-0077,bridge,Central Span 77,41.752568,-87.528588,1957,steel,22671,4,4,3,2025-12-09,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,deck patch 2025-10-14,https://example.com/images/brg-0077_joint.jpg
BRG-0078,bridge,Central Span 78,41.888089,-87.658003,1997,steel,100521,5,5,6,2025-12-20,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,joint seal 2026-01-06,
BRG-0079,bridge,South Span 79,41.747328,-87.838075,2007,prestressed_concrete,59248,7,5,7,2025-12-28,Concrete spalling and exposed rebar found around deck edge and joint line. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 14 days.,joint seal 2022-05-04; bearing maintenance 2025-10-19,https://example.com/images/brg-0079_spalling.jpg
BRG-0080,bridge,West Span 80,41.84859,-87.897814,1975,composite,39405,4,5,7,2025-08-28,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 45 days.,,https://example.com/images/brg-0080_crack.jpg
BRG-0081,bridge,South Span 81,41.955357,-87.595964,1959,prestressed_concrete,35853,8,5,3,2025-09-05,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,joint seal 2023-04-04,
BRG-0082,bridge,Central Span 82,42.028468,-87.726874,1986,steel,23672,6,5,8,2025-05-22,Corrosion staining and section loss observed on bearing and steel members. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,deck patch 2022-11-04,https://example.com/images/brg-0082_joint.jpg
BRG-0083,bridge,South Span 83,41.978347,-87.937799,1955,prestressed_concrete,72377,4,3,4,2025-06-19,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,drain clearing 2024-06-29; joint seal 2025-10-29; drain clearing 2023-10-31,
BRG-0084,bridge,North Span 84,41.993209,-87.812694,1994,prestressed_concrete,107521,7,6,7,2025-05-17,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.,,
BRG-0085,bridge,Central Span 85,42.027608,-87.57841,2003,prestressed_concrete,68082,9,4,7,2025-02-24,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 30 days.",drain clearing 2024-06-07; joint seal 2025-08-28,https://example.com/images/brg-0085_corrosion.jpg
BRG-0086,bridge,West Span 86,41.65995,-87.829017,2010,prestressed_concrete,77907,2,2,5,2025-07-23,Expansion joint leakage accelerating deck and support deterioration. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,joint seal 2023-12-01; deck patch 2024-02-17,
BRG-0087,bridge,South Span 87,41.978378,-87.682006,1965,reinforced_concrete,36728,7,5,6,2025-08-25,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.",joint seal 2025-12-11,https://example.com/images/brg-0087_fatigue.jpg
BRG-0088,bridge,Central Span 88,41.774466,-87.686381,1970,composite,106010,4,8,5,2025-09-28,Fatigue cracking at welded detail under repeated heavy axle loading. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 45 days.,bearing maintenance 2023-07-02; bearing maintenance 2024-04-21; joint seal 2023-10-29,https://example.com/images/brg-0088_pothole.jpg
BRG-0089,bridge,South Span 89,41.748867,-87.668096,1979,composite,16462,4,5,4,2025-08-18,"Standing water, blocked inlets, and shoulder washout after rainfall events. Field crew noted recurring pattern after heavy rain. Follow-up inspection recommended within 45 days.",deck patch 2026-01-21,
BRG-0090,bridge,Central Span 90,41.845746,-87.687064,2010,composite,19326,4,5,4,2025-05-17,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern during peak load period. Follow-up inspection recommended within 30 days.,drain clearing 2023-03-05,https://example.com/images/brg-0090_drainage.jpg
BRG-0091,bridge,West Span 91,41.718828,-87.843997,1988,prestressed_concrete,61947,9,3,6,2025-03-12,Deck delamination with hollow sound and moisture intrusion evidence. Field crew noted recurring pattern during freeze-thaw cycle. Follow-up inspection recommended within 30 days.,bearing maintenance 2024-07-19; drain clearing 2023-12-13; deck patch 2024-07-14,https://example.com/images/brg-0091_joint.jpg
